date,player,market,line,pick,projection,actual,margin,result,flags,p_model,p_market,decimal_odds,stake_pct,realized_profit
2026-04-19,Jalen Green,PRA,25.5,OVER,31.9,23.0,,MISS,NO-PO HI-USG PO-MIN+,0.748,,,,
2026-04-19,Dominick Barlow,REB,2.5,OVER,4.7,3.0,,HIT,NO-PO 2-BOOK,0.747,,,,
2026-04-19,Cade Cunningham,PTS,26.5,UNDER,16.7,39.0,,MISS,NO-PO BLW-4m PO-MIN+,0.746,,,,
2026-04-19,Nikola Vucevic,3PM,0.5,OVER,1.5,1.0,,HIT,NO-PO 1-BOOK,0.745,,,,
2026-04-19,Grayson Allen,PRA,13.5,OVER,18.2,,,MISS,NO-PO,0.737,,,,
2026-04-19,VJ Edgecombe,AST,4.5,OVER,6.2,3.0,,MISS,NO-PO PO-MIN+,0.734,,,,
2026-04-19,Cason Wallace,3PM,0.5,OVER,1.4,0.0,,MISS,NO-PO,0.732,,,,
2026-04-19,Dillon Brooks,AST,1.5,OVER,2.0,2.0,,HIT,NO-PO PO-MIN+,0.732,,,,
2026-04-19,Kelly Oubre Jr,REB,4.5,OVER,6.0,7.0,,HIT,NO-PO PO-MIN+,0.731,,,,
2026-04-19,Devin Vassell,REB,3.5,OVER,5.1,3.0,,MISS,NO-PO PO-MIN+,0.729,,,,
2026-04-19,Neemias Queta,AST,1.5,OVER,2.4,1.0,,MISS,NO-PO,0.723,,,,
2026-04-19,Luguentz Dort,PRA,11.5,UNDER,7.4,12.0,,MISS,NO-PO ROT-RISK,0.706,,,,
2026-04-19,Jalen Green,PTS,17.5,OVER,23.4,17.0,,MISS,NO-PO HI-USG PO-MIN+,0.702,,,,
2026-04-19,Tyrese Maxey,PTS+REB,29.5,OVER,32.7,22.0,,MISS,NO-PO PO-MIN+,0.698,,,,
2026-04-19,Scoot Henderson,PTS,9.5,OVER,13.9,18.0,,HIT,NO-PO PO-MIN+,0.696,,,,
2026-04-19,Quentin Grimes,AST,2.5,UNDER,2.0,2.0,,HIT,NO-PO,0.695,,,,
2026-04-19,Luguentz Dort,AST,0.5,OVER,0.8,2.0,,HIT,NO-PO 2-BOOK ROT-RISK,0.69,,,,
2026-04-19,Jrue Holiday,REB,4.5,OVER,5.8,4.0,,MISS,NO-PO PO-MIN+,0.679,,,,
2026-04-19,Keldon Johnson,PTS,10.5,OVER,14.0,3.0,,MISS,NO-PO,0.677,,,,
2026-04-19,Jalen Williams,AST,4.5,OVER,5.5,6.0,,HIT,NO-PO,0.676,,,,
2026-04-19,Jalen Duren,AST,2.5,OVER,3.2,1.0,,MISS,NO-PO BLW-4m PO-MIN+,0.675,,,,
2026-04-19,Wendell Carter Jr,REB,7.5,UNDER,5.8,7.0,,HIT,NO-PO,0.675,,,,
2026-04-19,Isaiah Hartenstein,PTS,7.5,UNDER,5.2,8.0,,MISS,NO-PO ROT-RISK,0.665,,,,
2026-04-19,Anthony Black,REB,2.5,OVER,3.2,3.0,,HIT,NO-PO,0.659,,,,
2026-04-19,Shai Gilgeous-Alexander,REB,4.5,UNDER,3.4,4.0,,HIT,NO-PO BLW-4m PO-MIN+,0.653,,,,
2026-04-19,Sam Hauser,PTS+AST,8.5,OVER,10.7,14.0,,HIT,NO-PO,0.633,,,,
2026-04-19,Quentin Grimes,REB,2.5,OVER,3.1,4.0,,HIT,NO-PO,0.633,,,,
2026-04-19,Tristan da Silva,PTS,4.5,OVER,8.2,7.0,,HIT,NO-PO,0.611,,,,
2026-04-20,Anthony Edwards,REB+AST,10.5,UNDER,8.124,12.0,,MISS,LOW-PO,0.792,,,,
2026-04-20,Jakob Poeltl,REB,6.5,UNDER,4.124,4.0,,HIT,LOW-PO,0.784,,,,
2026-04-20,Anthony Edwards,REB,5.5,UNDER,3.9160000000000004,10.0,,MISS,LOW-PO,0.775,,,,
2026-04-20,Nickeil Alexander-Walker,PTS+AST,23.5,OVER,28.604000000000003,15.0,,MISS,LOW-PO,0.773,,,,
2026-04-20,James Harden,PTS+AST,27.5,OVER,31.636000000000003,32.0,,HIT,LOW-PO,0.757,,,,
2026-04-20,Cameron Johnson,PTS+AST,14.5,OVER,18.284,15.0,,HIT,LOW-PO,0.742,,,,
2026-04-20,Ayo Dosunmu,PTS,12.5,OVER,17.252,9.0,,MISS,LOW-PO,0.732,,,,
2026-04-20,Evan Mobley,PTS+AST,19.5,OVER,23.46,27.0,,HIT,LOW-PO,0.726,,,,
2026-04-20,Jonathan Kuminga,REB,5.5,UNDER,4.268,4.0,,HIT,LOW-PO,0.725,,,,
